"outlook","temperature","humidity","windy","C"
"overcast","mid","normal","true","N"
"rain","mid","normal","true","P"
"sunny","mid","high","false","N"
"sunny","cold","high","true","P"
"sunny","hot","high","true","N"
"rain","mid","normal","false","P"
"sunny","mid","normal","true","N"
"overcast","hot","normal","false","N"
"sunny","cold","normal","false","P"
"overcast","mid","low","false","P"
"rain","cold","normal","true","N"
"rain","hot","normal","true","N"
"overcast","hot","high","false","P"
"rain","mid","high","true","P"
"rain","cold","low","true","N"
"overcast","cold","high","true","N"
"overcast","mid","low","false","P"
"sunny","cold","normal","false","N"
"sunny","mid","normal","true","P"
"overcast","cold","low","true","N"
"overcast","cold","low","false","N"
"overcast","cold","high","false","P"
"rain","hot","low","false","P"
"rain","mid","high","true","N"
"rain","cold","high","false","P"
"sunny","hot","normal","false","P"
"sunny","cold","high","true","P"
"sunny","mid","high","true","P"
"sunny","cold","normal","true","P"
"rain","cold","low","false","P"
"overcast","hot","high","true","P"
"rain","mid","high","true","P"
"overcast","hot","low","true","N"
"overcast","cold","low","true","N"
"overcast","cold","normal","false","P"
"rain","cold","low","false","N"
"rain","mid","normal","true","P"
"rain","mid","high","true","P"
"rain","hot","high","false","N"
"overcast","hot","low","true","P"
"sunny","mid","normal","false","N"
"sunny","mid","normal","true","N"
"sunny","hot","low","false","N"
"sunny","mid","low","true","P"
"rain","hot","low","false","P"
"overcast","mid","low","false","N"
"overcast","hot","high","false","N"
"rain","mid","high","true","N"
"sunny","cold","high","true","P"
"overcast","mid","normal","false","P"
"sunny","mid","normal","true","P"
"rain","hot","normal","false","P"
"overcast","cold","low","true","P"
"overcast","cold","high","true","N"
"overcast","hot","high","true","P"
"sunny","hot","low","false","N"
"rain","hot","low","false","N"
"overcast","cold","normal","false","N"
"sunny","mid","high","true","P"
"overcast","cold","high","false","N"
"rain","cold","high","false","N"
"overcast","hot","high","false","P"
"sunny","mid","low","true","P"
"rain","mid","high","true","P"
"overcast","hot","low","true","N"
"rain","cold","high","false","N"
"rain","cold","high","false","N"
"overcast","hot","low","true","N"
"rain","mid","low","false","N"
"sunny","cold","high","true","N"
"overcast","hot","low","false","N"
"sunny","hot","normal","true","P"
"overcast","cold","normal","false","P"
"sunny","hot","low","true","P"
"overcast","hot","normal","false","N"
"overcast","hot","normal","true","P"
"overcast","mid","low","false","P"
"sunny","cold","high","false","N"
"overcast","hot","normal","false","N"
"sunny","cold","low","true","P"
"overcast","hot","high","false","P"
"rain","mid","high","true","N"
"sunny","hot","low","true","N"
"sunny","mid","low","true","N"
"overcast","hot","low","true","P"
"sunny","cold","high","true","N"
"sunny","mid","normal","false","N"
"rain","cold","normal","false","N"
"sunny","mid","low","false","N"
"rain","cold","low","false","N"
"rain","hot","normal","true","P"
"sunny","hot","normal","false","P"
"overcast","mid","normal","false","P"
"rain","cold","high","true","N"
"sunny","mid","low","true","N"
"sunny","mid","high","true","P"
"sunny","hot","low","false","P"
"sunny","hot","normal","false","P"
"rain","mid","high","true","P"
"rain","cold","low","true","N"
"sunny","mid","normal","true","P"
"sunny","cold","high","true","P"
"sunny","cold","high","false","N"
"sunny","cold","low","false","P"
"sunny","hot","normal","false","P"
"sunny","mid","low","false","N"
"sunny","cold","low","true","N"
"rain","hot","low","true","N"
"sunny","hot","low","true","P"
"overcast","cold","low","false","N"
"sunny","mid","high","false","P"
"overcast","mid","high","false","N"
"overcast","cold","normal","false","N"
"overcast","cold","high","true","P"
"rain","hot","low","false","N"
"sunny","hot","normal","true","P"
"sunny","hot","normal","true","N"
"rain","cold","high","true","N"
"overcast","hot","low","true","N"
"sunny","cold","low","false","P"
"overcast","cold","low","false","P"
"overcast","mid","high","false","P"
"rain","mid","normal","false","N"
"sunny","hot","normal","false","P"
"sunny","cold","normal","true","N"
"rain","mid","high","true","N"
"rain","cold","high","false","N"
"sunny","mid","normal","false","N"
"rain","cold","high","true","P"
"rain","hot","normal","false","N"
"sunny","cold","normal","false","P"
"overcast","hot","high","false","P"
"sunny","cold","high","true","N"
"overcast","hot","low","true","N"
"rain","cold","low","true","P"
"overcast","mid","high","false","P"
"sunny","cold","high","true","P"
"sunny","mid","normal","true","N"
"overcast","hot","low","true","N"
"overcast","mid","high","false","P"
"overcast","mid","normal","true","N"
"overcast","cold","low","false","N"
"sunny","hot","normal","false","P"
"overcast","hot","low","true","N"
"rain","mid","low","false","N"
"overcast","hot","normal","true","P"
"overcast","cold","high","true","N"
"sunny","mid","low","false","N"
"sunny","mid","low","false","N"
"sunny","mid","low","false","N"
"overcast","cold","high","false","P"
"rain","mid","low","true","N"
"overcast","mid","low","true","N"
"overcast","cold","normal","true","P"
"overcast","cold","low","true","P"
"sunny","mid","low","true","N"
"overcast","cold","normal","false","N"
"sunny","cold","normal","true","P"
"sunny","cold","high","false","N"
"sunny","cold","normal","false","N"
"overcast","cold","low","false","N"
"rain","hot","high","false","N"
"sunny","mid","high","false","P"
"overcast","hot","high","true","N"
"rain","mid","low","false","P"
"sunny","hot","normal","true","P"
"sunny","cold","high","true","N"
"overcast","cold","normal","true","N"
"overcast","cold","low","true","N"
"sunny","mid","low","false","N"
"sunny","hot","high","false","N"
"sunny","mid","low","true","P"
"sunny","mid","normal","true","N"
"sunny","hot","high","true","P"
"sunny","hot","low","false","N"
"rain","hot","normal","true","N"
"overcast","mid","normal","false","N"
"sunny","mid","low","false","N"
"rain","hot","normal","true","N"
"overcast","hot","normal","false","P"
"rain","cold","low","true","N"
"sunny","cold","normal","true","N"
"sunny","mid","high","true","P"
"sunny","mid","high","false","P"
"sunny","cold","high","false","P"
"overcast","hot","high","true","N"
"sunny","hot","high","true","P"
"sunny","cold","low","true","P"
"sunny","mid","normal","false","P"
"rain","mid","normal","false","N"
"rain","hot","low","false","P"
"rain","hot","normal","true","N"
"overcast","hot","low","true","N"
"rain","mid","high","true","N"
"sunny","hot","high","true","P"
"rain","hot","high","false","P"
"rain","mid","high","true","N"
"overcast","hot","low","false","N"
"rain","hot","low","true","N"
"rain","hot","high","true","P"
"rain","hot","normal","true","P"
"overcast","hot","normal","false","N"
"overcast","hot","low","false","P"
"rain","hot","normal","true","P"
"sunny","cold","high","true","P"
"overcast","mid","normal","false","N"
"rain","mid","high","false","N"
"rain","mid","high","false","P"
"sunny","cold","high","false","P"
"sunny","mid","low","false","P"
"rain","hot","high","false","N"
"overcast","mid","normal","true","P"
"rain","cold","low","false","P"
"overcast","hot","normal","false","P"
"rain","hot","low","false","N"
"rain","mid","low","false","N"
"rain","mid","normal","false","P"
"rain","hot","normal","true","N"
"overcast","hot","normal","true","P"
"rain","hot","low","true","N"
"rain","cold","normal","false","P"
"overcast","mid","high","true","P"
"overcast","mid","low","false","N"
"sunny","cold","normal","true","N"
"sunny","mid","normal","false","N"
"sunny","cold","normal","true","P"
"sunny","hot","normal","true","N"
"sunny","cold","high","true","N"
"rain","hot","normal","true","N"
"overcast","mid","high","false","P"
"sunny","mid","low","true","N"
"rain","hot","low","true","N"
"rain","mid","low","false","P"
"rain","mid","low","false","N"
"rain","cold","low","false","P"
"overcast","hot","low","true","N"
"rain","mid","low","false","N"
"overcast","cold","normal","true","N"
"rain","hot","high","false","P"
"overcast","cold","low","true","P"
"overcast","cold","low","true","P"
"sunny","cold","high","true","P"
"overcast","cold","high","false","N"
"rain","mid","high","false","P"
"sunny","cold","low","true","N"
"overcast","cold","low","true","N"
"sunny","hot","low","true","P"
"sunny","hot","high","false","P"
"sunny","cold","high","false","P"
"rain","hot","high","false","N"
"rain","hot","high","true","N"
"sunny","cold","normal","false","P"
"rain","hot","low","false","N"
"sunny","cold","normal","false","P"
"rain","hot","low","false","N"
"overcast","mid","normal","false","N"
"sunny","hot","high","true","N"
"sunny","cold","low","false","P"
"overcast","hot","high","true","P"
"rain","hot","low","true","P"
"overcast","cold","high","false","P"
"sunny","mid","low","false","N"
"rain","cold","normal","true","N"
"rain","cold","normal","true","N"
"sunny","cold","high","true","P"
"sunny","cold","low","false","N"
"overcast","hot","high","true","P"
"rain","mid","high","true","N"
"overcast","cold","low","false","P"
"rain","cold","normal","true","P"
"sunny","mid","low","false","P"
"overcast","hot","normal","true","N"
"rain","hot","low","true","P"
"sunny","mid","normal","true","P"
"sunny","mid","high","false","P"
"sunny","hot","high","false","P"
"rain","mid","normal","false","P"
"overcast","mid","low","true","N"
"rain","hot","low","true","P"
"sunny","hot","high","false","N"
"sunny","cold","normal","false","N"
"rain","hot","low","false","N"
"sunny","cold","low","true","N"
"rain","hot","low","true","N"
"sunny","mid","high","false","P"
"overcast","hot","normal","false","N"
"overcast","cold","normal","true","N"
"rain","mid","normal","false","N"
"rain","hot","low","false","N"
"rain","cold","low","true","P"
"overcast","cold","high","false","N"
"sunny","mid","high","false","N"
"overcast","cold","low","true","P"
"overcast","hot","high","false","N"
"rain","cold","high","false","N"
"rain","hot","low","false","P"
"sunny","cold","normal","false","P"
"rain","cold","normal","true","P"
"sunny","cold","high","true","P"
"sunny","cold","low","false","N"
"sunny","mid","low","false","P"
"rain","cold","normal","false","N"
"rain","cold","normal","false","P"
"sunny","mid","high","false","P"
"sunny","mid","normal","false","N"
"rain","mid","high","false","N"
"sunny","hot","high","true","N"
"rain","hot","normal","true","N"
"overcast","hot","low","false","P"
"rain","cold","normal","true","N"
"overcast","mid","normal","true","P"
"sunny","mid","low","false","N"
"overcast","cold","normal","false","P"
"rain","cold","low","false","N"
"overcast","hot","low","false","N"
"sunny","hot","normal","false","N"
"sunny","hot","low","true","P"
"overcast","cold","low","false","N"
"sunny","hot","normal","true","N"
"rain","mid","high","false","P"
"sunny","hot","low","true","P"
"overcast","mid","high","true","P"
"overcast","mid","normal","true","N"
"sunny","mid","low","true","P"
"overcast","cold","low","false","P"
"overcast","hot","normal","true","N"
"sunny","mid","low","true","N"
"overcast","cold","high","true","P"
"sunny","cold","normal","false","N"
"rain","hot","high","true","P"
"overcast","hot","low","true","N"
"sunny","hot","normal","true","N"
"sunny","hot","normal","true","P"
"overcast","cold","normal","false","P"
"overcast","cold","high","true","N"
"sunny","mid","normal","false","N"
"overcast","mid","high","true","P"
"sunny","cold","normal","false","P"
"rain","mid","normal","true","P"
"rain","cold","low","false","P"
"overcast","hot","low","false","P"
"rain","hot","low","true","P"
"overcast","hot","high","false","N"
"overcast","cold","high","false","N"
"overcast","cold","normal","false","N"
"rain","cold","high","false","P"
"sunny","mid","high","false","N"
"rain","cold","high","false","P"
"rain","cold","low","true","N"
"overcast","mid","low","true","N"
"rain","hot","normal","true","P"
"overcast","mid","normal","true","N"
"rain","mid","normal","true","N"
"overcast","cold","normal","false","N"
"overcast","cold","high","false","P"
"rain","mid","high","true","P"
"sunny","cold","low","false","P"
"overcast","mid","normal","true","N"
"rain","hot","high","false","P"
"sunny","cold","low","false","N"
"overcast","mid","high","true","N"
"overcast","hot","low","false","P"
"sunny","hot","high","true","P"
"rain","mid","low","false","N"
"sunny","cold","high","true","P"
"sunny","cold","high","true","P"
"rain","mid","high","true","N"
"rain","cold","high","true","P"
"rain","mid","low","true","N"
"rain","mid","high","true","N"
"sunny","hot","low","true","P"
"rain","mid","high","false","P"
"rain","mid","normal","true","P"
"rain","cold","high","false","N"
"rain","cold","low","false","N"
"rain","cold","low","false","P"
"overcast","mid","normal","true","P"
"sunny","cold","normal","false","P"
"rain","cold","normal","false","N"
"rain","hot","high","true","P"
"rain","cold","high","false","P"
"rain","hot","low","true","N"
"sunny","cold","high","false","N"
"rain","mid","low","true","N"
"overcast","mid","normal","true","N"
"rain","cold","low","true","P"
"overcast","cold","high","true","P"
"sunny","cold","low","false","N"
"rain","hot","low","true","P"
"overcast","hot","low","true","N"
"overcast","mid","normal","true","P"
"rain","mid","low","true","N"
"overcast","hot","normal","false","N"
"sunny","cold","high","true","P"
"rain","hot","high","true","P"
"overcast","hot","low","true","N"
"overcast","hot","high","true","P"
"sunny","cold","normal","false","P"
"overcast","mid","normal","true","N"
